symbol,strategy_id,tf,mode_params,n_6m,wr_6m_pct,mode_a_ret_6m_pct,bh_ret_6m_pct,ratio_bh_6m,pass_6m,n_full,wr_full_pct,mode_a_ret_full_pct,bh_ret_full_pct,ratio_bh_full,pass_full,ops_ret_6m_pct,ops_ret_full_pct,notes
BTCUSDT,classic-floor-pivots-utc-v1,1h,mode_b|week|buf0.0,8,62.5,1.88,5.87,0.321,N,40,60.0,3.06,32.11,0.095,N,0.06,0.12,
BTCUSDT,pdh-pdl-accept-break-v1,15m,mode_a|rvol_off,86,14.0,-22.41,4.88,-4.594,N,324,14.5,-61.80,31.84,-1.941,N,-0.62,-2.32,
BTCUSDT,pdh-pdl-accept-break-v1,15m,mode_a|rvol1.0,80,16.2,-21.03,4.88,-4.311,N,307,15.6,-59.62,31.84,-1.872,N,-0.57,-2.19,
BTCUSDT,pdh-pdl-accept-break-v1,15m,mode_a|rvol1.5,75,16.0,-19.73,4.88,-4.045,N,283,16.3,-54.40,31.84,-1.708,N,-0.53,-1.89,
BTCUSDT,pdh-pdl-accept-break-v1,15m,mode_a|rvol2.0,62,16.1,-20.36,4.88,-4.175,N,248,17.7,-49.63,31.84,-1.559,N,-0.56,-1.65,
BTCUSDT,pdh-pdl-accept-break-v1,15m,mode_b|rvol_off,61,9.8,-17.79,4.88,-3.647,N,222,14.9,-44.54,31.84,-1.399,N,-0.48,-1.43,
BTCUSDT,pdh-pdl-accept-break-v1,15m,mode_b|rvol1.0,46,17.4,-8.82,4.88,-1.808,N,169,19.5,-23.41,31.84,-0.735,N,-0.22,-0.63,
BTCUSDT,pdh-pdl-accept-break-v1,15m,mode_b|rvol1.5,38,13.2,-8.78,4.88,-1.799,N,136,16.9,-27.43,31.84,-0.862,N,-0.22,-0.78,
BTCUSDT,pdh-pdl-accept-break-v1,15m,mode_b|rvol2.0,26,7.7,-11.77,4.88,-2.414,N,106,15.1,-26.54,31.84,-0.833,N,-0.31,-0.75,
BTCUSDT,pdh-pdl-accept-break-v1,1h,mode_a|rvol_off,77,22.1,-22.98,5.87,-3.912,N,291,24.7,-61.61,32.11,-1.919,N,-0.64,-2.30,
BTCUSDT,pdh-pdl-accept-break-v1,1h,mode_a|rvol1.0,67,26.9,-17.09,5.87,-2.910,N,260,28.1,-53.44,32.11,-1.665,N,-0.46,-1.83,
BTCUSDT,pdh-pdl-accept-break-v1,1h,mode_a|rvol1.5,53,30.2,-15.96,5.87,-2.718,N,214,30.8,-47.95,32.11,-1.494,N,-0.43,-1.57,
BTCUSDT,pdh-pdl-accept-break-v1,1h,mode_a|rvol2.0,38,34.2,-9.76,5.87,-1.662,N,167,32.3,-39.33,32.11,-1.225,N,-0.25,-1.20,
BTCUSDT,pdh-pdl-accept-break-v1,1h,mode_b|rvol_off,49,14.3,-21.90,5.87,-3.729,N,174,25.3,-31.87,32.11,-0.993,N,-0.61,-0.92,
BTCUSDT,pdh-pdl-accept-break-v1,1h,mode_b|rvol1.0,36,16.7,-15.06,5.87,-2.564,N,133,25.6,-32.08,32.11,-0.999,N,-0.40,-0.95,
BTCUSDT,pdh-pdl-accept-break-v1,1h,mode_b|rvol1.5,26,19.2,-11.73,5.87,-1.997,N,97,24.7,-24.65,32.11,-0.768,N,-0.31,-0.69,
BTCUSDT,pdh-pdl-accept-break-v1,1h,mode_b|rvol2.0,17,29.4,-7.07,5.87,-1.204,N,72,26.4,-23.54,32.11,-0.733,N,-0.18,-0.66,
BTCUSDT,pvt-ema-cross-v1,1h,mode_a|ema9,330,17.6,-66.43,5.87,-11.310,N,1236,19.5,-97.09,32.11,-3.024,N,-2.62,-8.23,
BTCUSDT,pvt-ema-cross-v1,1h,mode_a|ema14,243,17.7,-55.52,5.87,-9.453,N,952,18.4,-95.18,32.11,-2.965,N,-1.93,-7.08,
BTCUSDT,pvt-ema-cross-v1,1h,mode_a|ema21,187,17.1,-46.83,5.87,-7.974,N,689,18.3,-87.01,32.11,-2.710,N,-1.49,-4.75,
BTCUSDT,pvt-ema-cross-v1,1h,mode_a|ema34,109,18.3,-25.19,5.87,-4.289,N,432,19.2,-72.51,32.11,-2.259,N,-0.66,-2.92,
BTCUSDT,pvt-ema-cross-v1,4h,mode_a|ema9,76,21.1,-23.42,7.22,-3.243,N,294,23.5,-56.79,31.52,-1.802,N,-0.60,-1.81,
BTCUSDT,pvt-ema-cross-v1,4h,mode_a|ema14,57,19.3,-21.27,7.22,-2.945,N,219,21.0,-54.63,31.52,-1.733,N,-0.52,-1.71,
BTCUSDT,pvt-ema-cross-v1,4h,mode_a|ema21,39,20.5,2.10,7.22,0.291,N,160,21.2,-25.26,31.52,-0.801,N,0.13,-0.39,
