strategy_id,TF,mode,p,x,q,btc_n_6m,btc_wr_6m,btc_ret_6m,btc_bh_6m,btc_x_bh_6m,btc_pass_6m,btc_smoke,eth_n_6m,eth_ret_6m,eth_bh_6m,eth_x_bh_6m,eth_pass_6m,eth_smoke,sol_n_6m,sol_ret_6m,sol_bh_6m,sol_x_bh_6m,sol_pass_6m,sol_smoke,bnb_n_6m,bnb_ret_6m,bnb_bh_6m,bnb_x_bh_6m,bnb_pass_6m,bnb_smoke,full_ladder_pass_6m,btc_ret_2y,btc_n_2y,btc_bh_2y,btc_ops_ret_2y,notes
chande-kroll-stop-flip,4h,A,8,0.8,9,26,34.62,12.64,23.52,0.538,N,FAIL: lag B&H (0.538x),26,7.15,30.24,0.237,N,FAIL: under 1.2x B&H (0.237x),22,39.41,32.43,1.215,Y,PASS_SMOKE,28,6.67,26.27,0.254,N,"FAIL: under 1.2x B&H (0.254x, quiet wipe)",N,4.37,107,37.14,0.37,denser_n(26>>9)
chande-kroll-stop-flip,4h,A,12,1.0,14,17,41.18,12.56,23.52,0.534,N,FAIL: lag B&H (0.534x),18,4.22,30.24,0.140,N,FAIL: under 1.2x B&H (0.140x),18,17.23,32.43,0.531,N,"FAIL: under 1.2x B&H (0.531x, 0.922x rhyme)",20,4.05,26.27,0.154,N,"FAIL: under 1.2x B&H (0.154x, quiet wipe)",N,3.19,72,37.14,0.31,denser_n(17>>9)
chande-kroll-stop-flip,4h,A,10,1.0,11,23,39.13,12.43,23.52,0.529,N,FAIL: lag B&H (0.529x),20,23.94,30.24,0.792,N,FAIL: under 1.2x B&H (0.792x),21,25.97,32.43,0.801,N,"FAIL: under 1.2x B&H (0.801x, 0.922x rhyme)",24,12.22,26.27,0.465,N,"FAIL: under 1.2x B&H (0.465x, quiet wipe)",N,16.62,90,37.14,0.70,denser_n(23>>9)
chande-kroll-stop-flip,4h,A,12,1.0,5,30,30.00,12.42,23.52,0.528,N,FAIL: lag B&H (0.528x),35,2.16,30.24,0.071,N,FAIL: under 1.2x B&H (0.071x),26,39.85,32.43,1.229,Y,PASS_SMOKE,31,13.94,26.27,0.531,N,"FAIL: under 1.2x B&H (0.531x, quiet wipe)",N,3.22,128,37.14,0.37,denser_n(30>>9)
chande-kroll-stop-flip,4h,A,14,1.0,9,22,40.91,12.37,23.52,0.526,N,FAIL: lag B&H (0.526x),21,11.77,30.24,0.389,N,FAIL: under 1.2x B&H (0.389x),20,13.04,32.43,0.402,N,"FAIL: under 1.2x B&H (0.402x, 0.922x rhyme)",21,8.98,26.27,0.342,N,"FAIL: under 1.2x B&H (0.342x, quiet wipe)",N,10.00,84,37.14,0.55,denser_n(22>>9)
chande-kroll-stop-flip,4h,A,14,1.5,7,28,35.71,12.19,23.52,0.518,N,FAIL: lag B&H (0.518x),38,8.57,30.24,0.283,N,FAIL: under 1.2x B&H (0.283x),34,14.57,32.43,0.449,N,"FAIL: under 1.2x B&H (0.449x, 0.922x rhyme)",36,11.31,26.27,0.430,N,"FAIL: under 1.2x B&H (0.430x, quiet wipe)",N,-22.58,129,37.14,-0.36,denser_n(28>>9)
chande-kroll-stop-flip,4h,A,12,0.8,5,27,33.33,12.17,23.52,0.517,N,FAIL: lag B&H (0.517x),29,4.92,30.24,0.163,N,FAIL: under 1.2x B&H (0.163x),22,41.71,32.43,1.286,Y,PASS_SMOKE,28,3.96,26.27,0.151,N,"FAIL: under 1.2x B&H (0.151x, quiet wipe)",N,18.52,106,37.14,0.69,denser_n(27>>9)
chande-kroll-stop-flip,1h,A,14,1.2,11,82,35.37,13.79,26.77,0.515,N,FAIL: lag B&H (0.515x),83,23.78,35.57,0.669,N,FAIL: under 1.2x B&H (0.669x),90,22.32,38.52,0.580,N,"FAIL: under 1.2x B&H (0.580x, 0.922x rhyme)",89,3.52,28.88,0.122,N,"FAIL: under 1.2x B&H (0.122x, quiet wipe)",N,-46.88,369,37.55,-1.33,denser_n(82>>9)
chande-kroll-stop-flip,1h,A,12,0.8,9,75,37.33,13.73,26.77,0.513,N,FAIL: lag B&H (0.513x),81,6.88,35.57,0.193,N,FAIL: under 1.2x B&H (0.193x),86,3.27,38.52,0.085,N,"FAIL: under 1.2x B&H (0.085x, 0.922x rhyme)",86,3.73,28.88,0.129,N,"FAIL: under 1.2x B&H (0.129x, quiet wipe)",N,-49.99,353,37.55,-1.46,denser_n(75>>9)
chande-kroll-stop-flip,4h,A,10,1.0,7,30,30.00,11.91,23.52,0.506,N,FAIL: lag B&H (0.506x),34,3.56,30.24,0.118,N,FAIL: under 1.2x B&H (0.118x),27,33.03,32.43,1.019,N,"FAIL: under 1.2x B&H (1.019x, 0.922x rhyme)",33,9.26,26.27,0.352,N,"FAIL: under 1.2x B&H (0.352x, quiet wipe)",N,9.31,125,37.14,0.51,denser_n(30>>9)
